center     color diametemass
plain      orange  13.480.83
plain      orange  13.350.92
plain      brown    13.40.91
plain      orange  12.760.83
plain      yellow  13.930.93
plain      blue    13.280.83
plain      green   13.190.88
plain      orange  13.320.95
plain      blue    12.490.76
plain      blue    13.380.85
plain      green    13.4 0.9
plain      brown   12.850.81
plain      yellow  13.31 0.9
plain      green   13.050.83
plain      green   13.110.87
plain      red     13.040.84
plain      blue     13.5 0.9
plain      brown   13.360.85
plain      blue    13.420.92
plain      brown    13.10.83
plain      green   13.270.87
plain      brown   13.310.89
plain      blue    13.190.86
plain      green    13.20.83
plain      brown   13.410.88
plain      orange  13.740.89
plain      orange   13.60.98
plain      yellow  13.670.88
plain      brown   13.380.91
plain      orange  12.84 0.9
plain      brown   13.840.82
plain      green   13.230.87
plain      blue    13.270.95
plain      yellow  13.220.82
plain      red     12.610.76
plain      brown   13.130.84
plain      green   13.530.94
plain      blue    13.170.86
plain      green   13.260.91
plain      red      13.80.88
plain      brown   13.420.85
plain      orange  13.380.88
plain      green   13.230.95
plain      blue    13.120.86
plain      brown   13.260.92
plain      blue    12.490.84
plain      blue    13.130.85
plain      orange     130.84
plain      green    13.90.93
plain      green   13.330.87
plain      green   12.950.87
plain      green   12.880.86
plain      green   12.390.84
plain      green    13.10.82
plain      orange  13.980.93
plain      blue    13.150.86
plain      orange   12.90.79
plain      blue    13.060.86
plain      orange  13.57 0.9
plain      green   12.980.89
plain      blue     13.20.87
plain      brown   13.440.87
plain      brown   13.170.89
plain      blue    13.480.95
plain      green   13.44 0.9
plain      brown   13.240.84
plain      green   13.25 0.9
plain      blue    13.060.83
plain      brown   13.160.87
plain      green   13.050.83
plain      orange  13.490.87
plain      orange  13.35 0.9
plain      orange  13.770.92
plain      red     13.410.89
plain      yellow  12.950.82
plain      orange   13.80.86
plain      green   13.410.86
plain      brown   13.590.91
plain      green   12.99 0.9
plain      green   13.49 0.9
plain      yellow  13.640.99
plain      yellow  13.970.92
plain      brown   13.150.86
plain      green   13.48 0.9
plain      green   13.390.91
plain      brown   13.360.83
plain      brown   12.940.81
plain      red     13.470.93
plain      orange  13.290.92
plain      orange  13.140.82
plain      green   13.310.88
plain      blue    13.130.78
plain      blue    13.110.88
plain      green   12.980.82
plain      green    13.40.94
plain      green   13.38 0.9
plain      brown   13.790.89
plain      yellow  13.15 0.9
plain      orange  13.530.89
plain      blue     13.50.91
plain      blue    13.480.88
plain      brown   12.910.82
plain      blue    12.810.87
plain      brown   13.67 0.9
plain      yellow     140.87
plain      yellow  13.910.93
plain      green   12.820.79
plain      orange  12.930.84
plain      blue    12.630.82
plain      blue    13.180.83
plain      orange  13.310.86
plain      orange  13.13 0.8
plain      green   13.530.91
plain      red     13.250.87
plain      red        130.78
plain      blue    13.030.82
plain      blue    13.160.84
plain      orange  13.250.86
plain      orange  13.140.85
plain      green   13.190.92
plain      brown   13.511.01
plain      blue    13.280.88
plain      brown   13.030.84
plain      green   13.610.87
plain      orange   13.20.85
plain      blue    12.970.82
plain      green   12.840.82
plain      blue    13.180.88
plain      blue    13.640.89
plain      green    13.30.84
plain      orange  12.650.81
plain      green   13.330.88
plain      yellow  12.980.88
plain      blue    13.220.84
plain      yellow  13.230.84
plain      green   13.770.89
plain      brown   12.86 0.8
plain      brown   13.860.85
plain      yellow  13.480.95
plain      yellow  13.990.87
plain      brown   12.380.82
plain      brown   13.020.84
plain      yellow  13.140.84
plain      orange  12.560.73
plain      blue    13.280.89
plain      green   13.190.84
plain      yellow  13.450.86
plain      yellow  13.630.88
plain      orange  13.180.81
plain      green   13.640.93
plain      blue    13.320.87
plain      yellow   13.80.95
plain      green   13.310.87
plain      brown   13.691.01
plain      yellow  13.020.82
plain      yellow   13.60.93
plain      green   12.660.81
plain      brown   13.140.83
plain      blue    12.940.78
plain      red     13.390.88
plain      green   13.280.86
plain      orange   13.20.86
plain      green   12.940.87
plain      red     12.92 0.8
plain      green   13.290.81
plain      brown   13.320.86
plain      brown   13.360.84
plain      yellow  13.920.77
plain      red     12.970.83
plain      orange  13.630.92
plain      orange   13.10.82
plain      blue    13.13 0.8
plain      blue    13.65 0.8
plain      orange  12.870.83
plain      green   12.950.87
plain      blue    13.570.97
plain      yellow  12.780.84
plain      yellow  13.480.85
